Date,AAPL,ADBE,COP,CSCO,CVX,EMR,EOG,FB,GE,GOOG,IBM,INTC,MSFT,NVDA,ORCL,OXY,PSX,SLB,VLO,XOM
2018-05-23,188.36000061,243.910003662,69.1200027466,43.6800003052,128.699996948,73.0100021362,122.980003357,186.899993896,13.6346149445,1079.68994141,144.669998169,55.2099990845,98.6600036621,247.539993286,46.9000015259,85.3300018311,118.949996948,73.4499969482,121.050003052,82.1500015259
2018-05-24,188.149993896,245.149993896,68.4499969482,43.5699996948,126.61000061,73.25,119.980003357,185.929992676,14.0384616852,1079.23999023,144.070007324,54.75,98.3099975586,247.690002441,46.4599990845,83.8600006104,118.819999695,71.2200012207,121.879997253,80.2699966431
2018-05-25,188.580001831,243.559997559,65.4700012207,43.2599983215,122.190002441,72.4899978638,117.760002136,184.919998169,14.0673074722,1075.66003418,143.63999939,55.4399986267,98.3600006104,249.279998779,47.0,82.4000015259,115.599998474,68.5999984741,118.730003357,78.7099990845
2018-05-29,187.899993896,242.190002441,65.7099990845,42.9700012207,121.38999939,70.7699966431,116.209999084,185.740005493,13.6346149445,1060.31994629,141.220001221,55.3199996948,98.0100021362,248.589996338,46.2599983215,81.8300018311,116.809997559,68.0699996948,119.470001221,78.4199981689
2018-05-30,187.5,247.399993896,68.0500030518,42.8499984741,125.160003662,71.6500015259,119.760002136,187.669998169,13.625,1067.80004883,142.619995117,55.6800003052,98.9499969482,252.990005493,47.0499992371,84.0699996948,119.180000305,69.4800033569,122.209999084,81.5
2018-05-31,186.869995117,249.279998779,67.3899993896,42.7099990845,124.300003052,70.8399963379,117.809997559,191.779998779,13.5384616852,1084.98999023,141.309997559,55.2000007629,98.8399963379,252.190002441,46.7200012207,84.1999969482,116.489997864,68.6699981689,121.199996948,81.2399978638
2018-06-01,190.240005493,251.309997559,68.2900009155,43.6599998474,123.849998474,71.3700027466,118.349998474,193.990005493,13.5576925278,1119.5,141.949996948,57.0800018311,100.790000916,257.619995117,47.3499984741,85.0999984741,119.0,68.9599990845,123.779998779,81.8300018311
2018-06-04,191.830001831,253.339996338,67.9000015259,43.5800018311,122.260002136,71.5100021362,118.669998169,193.279998779,13.1826925278,1139.29003906,143.039993286,56.8300018311,101.669998169,264.850006104,47.3199996948,85.3600006104,119.199996948,69.0699996948,124.440002441,80.9700012207
2018-06-05,193.309997559,252.699996948,67.5599975586,43.6699981689,122.730003357,72.6699981689,116.580001831,192.940002441,13.2692308426,1139.66003418,143.699996948,56.5299987793,102.190002441,265.070007324,47.1300010681,85.5100021362,118.830001831,68.4599990845,123.330001831,80.6800003052
2018-06-06,193.979995728,253.949996948,67.8799972534,44.2599983215,123.379997253,73.2900009155,116.13999939,191.339996338,13.1153850555,1136.88000488,144.710006714,57.0299987793,102.489997864,265.149993896,47.75,86.4599990845,116.650001526,68.8899993896,121.199996948,82.0599975586
2018-06-07,193.460006714,247.509994507,69.4800033569,43.6500015259,126.959999084,73.3700027466,117.930000305,188.179992676,13.25,1123.85998535,145.36000061,55.8800010681,100.879997253,262.899993896,47.6800003052,86.4800033569,117.440002441,69.5999984741,121.489997864,82.8799972534
2018-06-08,191.699996948,251.210006714,69.4300003052,43.4799995422,126.440002441,73.1500015259,117.669998169,189.100006104,13.3942308426,1120.86999512,146.13999939,55.0499992371,101.629997253,262.279998779,48.1800003052,85.4700012207,116.839996338,69.4300003052,119.720001221,83.5999984741
2018-06-11,191.229995728,251.0,70.4899978638,43.6899986267,127.559997559,73.1800003052,118.010002136,191.539993286,13.4423074722,1129.98999023,146.580001831,54.5200004578,101.050003052,260.619995117,48.1899986267,86.1500015259,117.019996643,69.8700027466,120.569999695,83.0999984741
2018-06-12,192.279998779,252.589996338,69.4300003052,43.9399986267,127.080001831,73.2099990845,118.470001221,192.399993896,13.4423074722,1139.31994629,146.869995117,54.8199996948,101.309997559,262.579986572,48.4500007629,84.9300003052,115.550003052,68.5999984741,118.019996643,82.4199981689
2018-06-13,190.699996948,256.130004883,69.6200027466,44.0099983215,127.069999695,72.7799987793,118.25,192.410003662,13.3557691574,1134.79003906,146.350006104,55.0299987793,100.849998474,262.399993896,48.2700004578,84.3300018311,115.75,67.9700012207,117.879997253,81.5100021362
2018-06-14,190.800003052,258.100006104,68.1299972534,44.6899986267,126.510002136,72.9000015259,117.529998779,196.809997559,13.1153850555,1152.11999512,145.199996948,55.5400009155,101.419998169,266.910003662,45.9000015259,84.3499984741,115.550003052,68.3300018311,116.819999695,81.8899993896
2018-06-15,188.839996338,251.820007324,65.3600006104,44.25,124.040000916,72.2799987793,114.180000305,195.850006104,12.7884616852,1152.26000977,145.38999939,55.1100006104,100.129997253,265.260009766,46.2799987793,83.3300018311,114.300003052,66.8300018311,115.180000305,80.6600036621
